"Interval start","All packets","Keyframes","Non-Keyframes"
0,136,0,136
0.1,134,10,124
0.2,136,23,113
0.3,135,0,135
0.4,134,14,120
0.5,135,0,135
0.6,134,11,123
0.7,132,24,108
0.8,138,0,138
0.9,137,0,137
1,135,0,135
1.1,135,14,121
1.2,136,0,136
1.3,135,12,123
1.4,132,0,132
1.5,133,0,133
1.6,133,0,133
1.7,133,0,133
1.8,135,13,122
1.9,136,0,136
2,136,13,123
2.1,135,0,135
2.2,136,0,136
2.3,135,0,135
2.4,136,11,125
2.5,134,0,134
2.6,134,0,134
2.7,134,0,134
2.8,134,0,134
2.9,136,0,136
3,135,26,109
3.1,133,12,121
3.2,135,0,135
3.3,133,0,133
3.4,135,0,135
3.5,135,13,122
3.6,136,0,136
3.7,137,16,121
3.8,137,0,137
3.9,137,0,137
4,134,25,109
4.1,136,0,136
4.2,134,14,120
4.3,133,0,133
4.4,134,13,121
4.5,135,0,135
4.6,135,13,122
4.7,135,14,121
4.8,136,11,125
4.9,137,0,137
5,138,0,138
5.1,136,14,122
5.2,134,0,134
5.3,135,0,135
5.4,133,0,133
5.5,136,0,136
5.6,134,0,134
5.7,135,0,135
5.8,135,0,135
5.9,135,0,135
6,134,0,134
6.1,134,0,134
6.2,135,0,135
6.3,135,11,124
6.4,132,0,132
6.5,132,13,119
6.6,135,0,135
6.7,134,0,134
6.8,136,0,136
6.9,133,16,117
7,132,27,105
7.1,134,0,134
7.2,134,13,121
7.3,136,0,136
7.4,133,9,124
7.5,135,4,131
7.6,136,12,124
7.7,133,0,133
7.8,133,11,122
7.9,133,0,133
8,133,5,128
8.1,135,9,126
8.2,137,12,125
8.3,134,0,134
8.4,134,0,134
8.5,134,0,134
8.6,135,16,119
8.7,136,0,136
8.8,136,0,136
8.9,137,0,137
9,135,0,135
9.1,136,7,129
9.2,133,19,114
9.3,133,12,121
9.4,136,0,136
9.5,134,0,134
9.6,136,0,136
9.7,135,0,135
9.8,135,0,135
9.9,137,16,121
10,135,0,135
10.1,134,14,120
10.2,133,0,133
10.3,135,14,121
10.4,135,12,123
10.5,135,0,135
10.6,133,13,120
10.7,135,0,135
10.8,134,0,134
10.9,132,12,120
11,134,1,133
11.1,134,0,134
11.2,134,13,121
11.3,134,13,121
11.4,134,0,134
11.5,133,12,121
11.6,56,0,56
