"Interval start","All packets","Keyframes","Non-Keyframes"
0,70,0,70
0.1,68,0,68
0.2,65,10,55
0.3,68,0,68
0.4,69,12,57
0.5,70,11,59
0.6,72,0,72
0.7,69,0,69
0.8,60,0,60
0.9,72,14,58
1,69,0,69
1.1,67,0,67
1.2,63,11,52
1.3,68,0,68
1.4,63,13,50
1.5,60,9,51
1.6,71,2,69
1.7,71,0,71
1.8,68,0,68
1.9,68,0,68
2,67,0,67
2.1,67,0,67
2.2,64,0,64
2.3,62,7,55
2.4,65,7,58
2.5,70,0,70
2.6,65,0,65
2.7,65,12,53
2.8,64,0,64
2.9,70,0,70
3,65,0,65
3.1,59,0,59
3.2,61,0,61
3.3,62,0,62
3.4,71,0,71
3.5,65,0,65
3.6,71,8,63
3.7,58,5,53
3.8,70,0,70
3.9,62,0,62
4,67,13,54
4.1,62,0,62
4.2,64,0,64
4.3,67,0,67
4.4,55,0,55
4.5,57,0,57
4.6,65,0,65
4.7,69,0,69
4.8,70,0,70
4.9,68,11,57
5,71,0,71
5.1,61,0,61
5.2,70,0,70
5.3,59,0,59
5.4,61,0,61
5.5,67,0,67
5.6,68,0,68
5.7,60,0,60
5.8,58,0,58
5.9,64,0,64
6,67,0,67
6.1,63,13,50
6.2,64,13,51
6.3,66,0,66
6.4,60,0,60
6.5,64,12,52
6.6,72,0,72
6.7,64,0,64
6.8,60,0,60
6.9,71,0,71
7,61,0,61
7.1,68,0,68
7.2,66,3,63
7.3,67,10,57
7.4,62,0,62
7.5,73,0,73
7.6,69,16,53
7.7,66,0,66
7.8,71,0,71
7.9,67,0,67
8,69,0,69
8.1,74,0,74
8.2,62,12,50
8.3,58,11,47
8.4,66,2,64
8.5,73,0,73
8.6,64,0,64
8.7,73,14,59
8.8,59,0,59
8.9,69,0,69
9,68,0,68
9.1,72,13,59
9.2,71,0,71
9.3,68,0,68
9.4,74,13,61
9.5,67,0,67
9.6,71,14,57
9.7,56,0,56
9.8,65,11,54
9.9,66,0,66
10,66,0,66
10.1,66,0,66
10.2,71,0,71
10.3,66,0,66
10.4,59,0,59
10.5,66,14,52
10.6,68,0,68
10.7,69,0,69
10.8,65,0,65
10.9,71,0,71
11,60,0,60
11.1,68,0,68
11.2,70,0,70
11.3,67,0,67
11.4,66,0,66
11.5,69,0,69
11.6,63,0,63
11.7,71,0,71
11.8,67,0,67
11.9,65,0,65
12,71,0,71
12.1,67,0,67
12.2,69,0,69
12.3,66,0,66
12.4,68,0,68
12.5,67,0,67
12.6,65,0,65
12.7,65,0,65
12.8,62,0,62
12.9,70,0,70
13,70,11,59
13.1,59,0,59
13.2,62,0,62
13.3,60,3,57
13.4,72,10,62
13.5,66,0,66
13.6,67,0,67
13.7,69,0,69
13.8,66,0,66
13.9,67,0,67
14,76,15,61
14.1,65,1,64
14.2,69,0,69
14.3,62,6,56
14.4,58,21,37
14.5,68,0,68
14.6,64,0,64
14.7,64,0,64
14.8,63,13,50
14.9,67,0,67
15,74,0,74
15.1,63,0,63
15.2,67,13,54
15.3,64,0,64
15.4,64,0,64
15.5,60,0,60
15.6,68,12,56
15.7,68,0,68
15.8,71,0,71
15.9,64,11,53
16,66,0,66
16.1,60,0,60
16.2,65,0,65
16.3,62,0,62
16.4,61,0,61
16.5,73,14,59
16.6,67,0,67
16.7,62,0,62
16.8,61,12,49
16.9,70,0,70
17,60,0,60
17.1,63,0,63
17.2,67,0,67
17.3,59,0,59
17.4,58,0,58
17.5,62,7,55
17.6,73,9,64
17.7,62,0,62
17.8,66,0,66
17.9,65,0,65
18,65,0,65
18.1,64,0,64
18.2,67,0,67
18.3,72,0,72
18.4,63,0,63
18.5,74,0,74
18.6,70,0,70
18.7,66,13,53
18.8,69,13,56
18.9,65,0,65
19,64,0,64
19.1,64,12,52
19.2,64,0,64
19.3,67,0,67
19.4,65,0,65
19.5,63,0,63
19.6,59,0,59
19.7,70,0,70
19.8,66,0,66
19.9,69,0,69
20,70,0,70
20.1,63,0,63
20.2,65,0,65
20.3,65,16,49
20.4,64,0,64
20.5,66,0,66
20.6,78,3,75
20.7,70,11,59
20.8,67,0,67
20.9,67,0,67
21,63,14,49
21.1,70,0,70
21.2,64,0,64
21.3,69,0,69
21.4,72,12,60
21.5,62,0,62
21.6,61,0,61
21.7,67,13,54
21.8,61,0,61
21.9,67,0,67
22,69,0,69
22.1,64,0,64
22.2,64,0,64
22.3,64,0,64
22.4,72,13,59
22.5,66,0,66
22.6,70,0,70
22.7,64,0,64
22.8,69,10,59
22.9,68,3,65
23,68,0,68
23.1,65,6,59
23.2,67,7,60
23.3,67,0,67
23.4,66,0,66
23.5,67,12,55
23.6,66,0,66
23.7,19,0,19
