"Interval start","All packets","Keyframes","Non-Keyframes"
0,64,41,23
0.1,65,51,14
0.2,69,29,40
0.3,70,26,44
0.4,70,11,59
0.5,70,30,40
0.6,63,21,42
0.7,68,34,34
0.8,63,36,27
0.9,64,37,27
1,66,13,53
1.1,77,0,77
1.2,63,24,39
1.3,57,35,22
1.4,64,39,25
1.5,62,38,24
1.6,62,22,40
1.7,65,13,52
1.8,68,38,30
1.9,61,30,31
2,69,58,11
2.1,62,49,13
2.2,23,12,11
