"Interval start","All packets","Keyframes","Non-Keyframes"
0,79,56,23
1,77,50,27
2,82,28,54
3,83,24,59
4,78,21,57
5,82,33,49
6,77,39,38
7,77,61,16
8,81,17,64
9,78,0,78
10,77,24,53
11,82,46,36
12,77,54,23
13,84,31,53
14,77,16,61
15,78,38,40
16,83,71,12
17,74,50,24
18,39,28,11
